Date,Power (kW),Power_second_derivative (kW),Power-1 (kW),Power_week (kW),Temperature (C),Humidity (%),SolarRad (W/m2),rain (mm/h),weekend_holiday
2017-11-13 09:00:00,265.7717436,-18.465947899999946,221.6389089,257.1249281,14.104999999999999,66.52499999999999,329.35833333333335,0.0,0
2017-11-13 10:00:00,291.4386304,-12.300068800000076,265.7717436,278.9696151,15.015833333333333,63.439166666666665,455.40000000000003,0.0,0
2017-11-13 11:00:00,304.8054484,11.50668840000003,291.4386304,301.1073336,16.540000000000003,54.6175,536.15,0.0,0
2017-11-13 12:00:00,329.6789548,-58.006683099999975,304.8054484,301.3291594,17.467499999999998,49.51083333333333,558.9583333333334,0.0,0
2017-11-13 13:00:00,296.5457781,40.351869299999976,329.6789548,300.6024031,17.968333333333334,47.56666666666666,519.6,0.0,0
2017-11-13 14:00:00,303.7644707,14.5748332,296.5457781,312.9507696,18.11,50.2725,427.6333333333334,0.0,0
2017-11-13 15:00:00,325.5579965,-20.812872500000026,303.7644707,303.9521254,17.696666666666665,52.471666666666664,287.84166666666664,0.0,0
2017-11-13 16:00:00,326.5386498,-20.56145719999995,325.5579965,298.1544924,17.224999999999998,52.83583333333333,125.49833333333333,0.0,0
2017-11-13 17:00:00,306.9578459,-23.64525580000003,326.5386498,287.7202802,15.925833333333335,54.43666666666667,11.169333333333334,0.0,0
2017-11-13 18:00:00,263.7317862,-20.23139109999994,306.9578459,238.5818566,14.500833333333333,57.26416666666666,2.7801666666666667,0.0,0
2017-11-13 19:00:00,200.2743354,20.85315239999997,263.7317862,186.3607798,13.46,61.767500000000005,2.4065833333333333,0.0,0
2017-11-13 20:00:00,157.670037,6.196804899999989,200.2743354,139.6265508,13.136666666666665,62.57,2.4944166666666665,0.0,0
2017-11-13 21:00:00,121.2625435,25.2877594,157.670037,110.4312593,13.239166666666668,60.468333333333334,2.3793333333333333,0.0,0
2017-11-13 22:00:00,110.1428094,5.8453580000000045,121.2625435,101.4188703,13.701666666666666,57.5925,2.411916666666667,0.0,0
2017-11-13 23:00:00,104.8684333,3.1047975999999977,110.1428094,100.2790064,14.161666666666667,49.54750000000001,2.6885,0.0,0
2017-11-14 00:00:00,102.6988548,-2.8875534000000016,104.8684333,96.9483741,13.6825,44.95249999999999,2.7715,0.0,0
2017-11-14 01:00:00,97.6417229,2.264837599999993,102.6988548,95.4597359,13.174999999999999,43.215,2.7534166666666664,0.0,0
2017-11-14 02:00:00,94.8494286,1.727454100000017,97.6417229,94.9387698,12.338333333333333,45.784166666666664,2.39575,0.0,0
2017-11-14 03:00:00,93.7845884,-3.4619715000000184,94.8494286,93.8743114,11.625833333333333,45.775,2.5065,0.0,0
2017-11-14 04:00:00,89.2577767,3.205974600000019,93.7845884,94.5751053,11.049999999999999,46.615833333333335,2.26425,0.0,0
2017-11-14 05:00:00,87.9369396,19.491080899999986,89.2577767,98.895745,10.576666666666666,46.8825,2.38425,0.0,0
2017-11-14 06:00:00,106.1071834,29.732675000000015,87.9369396,104.5622297,10.165000000000001,48.56666666666666,2.3495833333333334,0.0,0
2017-11-14 07:00:00,154.0101022,19.85779979999998,106.1071834,151.9722447,10.203333333333333,48.123333333333335,28.565416666666664,0.0,0
2017-11-14 08:00:00,221.7708208,-11.249546099999975,154.0101022,212.3205072,10.730833333333335,45.821666666666665,170.6916666666667,0.0,0
2017-11-14 09:00:00,278.2819933,-12.253680100000025,221.7708208,253.6576114,10.985,45.3825,328.80833333333334,0.0,0
2017-11-14 10:00:00,322.5394857,-43.3946244,278.2819933,285.8359063,12.011666666666665,43.494166666666665,458.0416666666667,0.0,0
2017-11-14 11:00:00,323.4023537,13.756063100000006,322.5394857,301.0420458,12.895833333333334,42.62833333333334,537.2333333333332,0.0,0
2017-11-14 12:00:00,338.0212848,-34.867885,323.4023537,314.4476165,14.419166666666667,39.49666666666667,558.5416666666666,0.0,0
2017-11-14 13:00:00,317.7723309,39.08295700000002,338.0212848,293.6229082,15.865,35.07583333333333,522.0083333333333,0.0,0
2017-11-14 14:00:00,336.606334,-23.608793900000023,317.7723309,315.3530552,16.550833333333333,31.39,428.3,0.0,0
