Date,Power (kW),Temperature (C),Humidity (%),SolarRad (W/m2),rain (mm/h),weekend_holiday,Power_second_derivative (kW),Power-1 (kW),Power_week (kW)
2019-03-31 21:00:00,105.74,14.73,62.44416666666666,4.5289166666666665,0.0,1,0.5679999999999978,107.57,121.689
2019-03-31 22:00:00,104.478,14.490833333333333,63.13666666666666,5.610916666666667,0.0,1,-1.4799999999999898,105.74,117.607
2019-03-31 23:00:00,101.736,14.209166666666668,64.87416666666667,4.116333333333333,0.0,1,57.199999999999974,104.478,117.82
2019-04-01 00:00:00,156.194,13.821666666666667,70.63250000000001,3.07575,0.0,0,-57.90199999999997,101.736,116.713
2019-04-01 01:00:00,152.75,13.055833333333332,79.77499999999999,8.171166666666666,0.0,0,0.44999999999998863,156.194,113.432
2019-04-01 02:00:00,149.756,12.73,81.15833333333333,7.8045,0.0,0,1.8029999999999973,152.75,97.048
2019-04-01 03:00:00,148.565,12.769166666666663,79.76666666666667,8.551833333333333,0.0,0,-4.282999999999987,149.756,96.906
2019-04-01 04:00:00,143.091,12.9175,78.34166666666667,10.173333333333334,0.0,0,7.976999999999975,148.565,96.835
2019-04-01 05:00:00,145.594,13.0475,77.38333333333334,8.944416666666667,0.0,0,22.797000000000025,143.091,95.491
2019-04-01 06:00:00,170.894,12.5325,81.325,21.2585,0.0,0,21.08899999999997,145.594,111.965
2019-04-01 07:00:00,217.283,13.01,80.875,112.90500000000002,0.0,0,61.90900000000005,170.894,122.083
2019-04-01 08:00:00,325.581,13.681666666666668,76.86666666666666,217.58333333333331,0.0,0,-31.619000000000057,217.283,197.025
2019-04-01 09:00:00,402.26,14.461666666666666,69.84166666666667,477.2583333333334,0.0,0,-29.753999999999962,325.581,321.341
2019-04-01 10:00:00,449.185,16.648333333333333,53.8775,742.6999999999999,0.0,0,-30.40500000000003,402.26,363.327
2019-04-01 11:00:00,465.705,17.213333333333335,50.11333333333334,546.8166666666667,0.0,0,-4.118999999999971,449.185,341.025
2019-04-01 12:00:00,478.106,18.113333333333333,48.00833333333333,667.775,0.0,0,-30.968000000000018,465.705,328.538
2019-04-01 13:00:00,459.539,16.30333333333333,54.91916666666666,123.05916666666668,0.0,0,1.646000000000015,478.106,330.076
2019-04-01 14:00:00,442.618,15.714166666666666,60.03583333333333,315.59166666666664,0.0,0,19.543000000000006,459.539,318.589
2019-04-01 15:00:00,445.24,16.7775,48.83083333333334,651.15,0.0,0,1.3409999999999513,442.618,311.534
2019-04-01 16:00:00,449.203,17.266666666666666,47.27333333333333,418.3833333333334,0.0,0,-27.904999999999916,445.24,299.946
2019-04-01 17:00:00,425.261,16.809166666666666,52.564166666666665,207.16666666666663,0.0,0,-53.44900000000007,449.203,296.438
2019-04-01 18:00:00,347.87,14.718333333333334,65.76416666666667,53.580000000000005,0.0,0,-16.38299999999998,425.261,297.826
2019-04-01 19:00:00,254.096,13.553333333333336,69.04833333333333,6.887166666666666,0.0,0,33.287000000000035,347.87,239.608
2019-04-01 20:00:00,193.609,13.201666666666666,65.0825,5.323333333333333,0.0,0,27.439999999999998,254.096,183.388
2019-04-01 21:00:00,160.562,12.993333333333332,67.95583333333333,5.891333333333333,0.0,0,22.659999999999997,193.609,155.635
2019-04-01 22:00:00,150.175,12.835833333333332,70.72333333333333,5.961166666666667,0.0,0,14.020999999999987,160.562,145.848
2019-04-01 23:00:00,153.809,12.781666666666666,70.46333333333332,5.954666666666667,0.0,0,-20.105999999999995,150.175,130.703
2019-04-02 00:00:00,137.337,12.274166666666666,74.73333333333333,5.371,0.0,0,9.15100000000001,153.809,121.777
2019-04-02 01:00:00,130.016,12.254166666666668,74.0,7.553,0.0,0,5.506,137.337,119.605
2019-04-02 02:00:00,128.201,12.233333333333334,73.89999999999999,6.014083333333333,0.0,0,-4.319999999999993,130.016,103.148
2019-04-02 03:00:00,122.066,11.561666666666667,78.95,9.054583333333332,0.0,0,2.0079999999999814,128.201,101.818
2019-04-02 04:00:00,117.939,11.239166666666668,80.3,5.497416666666666,0.0,0,35.67100000000002,122.066,99.548
2019-04-02 05:00:00,149.483,11.323333333333332,80.23333333333333,5.991416666666666,0.0,0,-13.741000000000014,117.939,100.318
